Algorithm,NumShards,CV%,StdDev,Mean,MinPercent,MaxPercent,Delta,DeltaPercent,TotalKeys
MURMUR3,107,6.8812,643.11,9345.79,0.7659,1.0932,3273,0.3273,1000000
MURMUR3,108,6.8114,630.68,9259.26,0.7626,1.0868,3242,0.3242,1000000
MURMUR3,109,6.8305,626.65,9174.31,0.7591,1.0820,3229,0.3229,1000000
MURMUR3,110,6.7455,613.23,9090.91,0.7587,1.0808,3221,0.3221,1000000
MURMUR3,111,6.7462,607.76,9009.01,0.7451,1.0764,3313,0.3313,1000000
MURMUR3,112,6.8001,607.15,8928.57,0.7365,1.0554,3189,0.3189,1000000
MURMUR3,113,6.8317,604.57,8849.56,0.7258,1.0404,3146,0.3146,1000000
MURMUR3,114,6.9401,608.78,8771.93,0.7032,1.0399,3367,0.3367,1000000
MURMUR3,115,6.9292,602.54,8695.65,0.6977,0.9987,3010,0.3010,1000000
MURMUR3,116,6.9155,596.17,8620.69,0.6844,0.9920,3076,0.3076,1000000
MURMUR3,117,6.9645,595.26,8547.01,0.6774,0.9900,3126,0.3126,1000000
